#RV data for 51 Peg downloaded from 
#http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/153/138/table1&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#The RV measurements were converted from m/s to km/s
#Original vizier information is given at the end of the file
#
#---------------- --------------- ----------- ------
#BJD (d)          RV (km/s)        e_RV (km/s)  Spectrograph  
#---------------- --------------- ----------- ------
2456508.86017 -33.1529351585 0.00021474638 HARPS
2456468.93916 -33.1317546997 0.00019689485 HARPS
2456451.84 -33.1463158123 0.00027497384 HARPS
2456508.80157 -33.1493094893 0.00024858476 HARPS
2456565.7012 -33.1739194939 0.00017664398 HARPS
2456565.66214 -33.1771416851 0.00020347447 HARPS
2456544.65834 -33.1642105877 0.00042798132 HARPS
2456540.67 -33.1448812724 0.00026801799 HARPS
2456565.60745 -33.1802105278 0.00021671225 HARPS
2456565.68557 -33.1750518988 0.00018283341 HARPS
2456565.69729 -33.174217538 0.00017526248 HARPS
2456565.59573 -33.1816355698 0.00019827548 HARPS
2456565.67776 -33.1752367458 0.00020129806 HARPS
2456544.59974 -33.1692475437 0.00030939985 HARPS
2456544.59193 -33.1683239341 0.00035897311 HARPS
